idx,name,ms,sm_clock_mhz
240,000240.npy,16.406,1620
241,000241.npy,14.800,
242,000242.npy,15.202,
243,000243.npy,20.719,
244,000244.npy,18.620,
245,000245.npy,16.863,
246,000246.npy,17.203,
247,000247.npy,17.022,
248,000248.npy,16.047,
249,000249.npy,15.941,
250,000250.npy,15.202,1620
251,000251.npy,16.464,
252,000252.npy,17.164,
253,000253.npy,15.839,
254,000254.npy,15.614,
255,000255.npy,15.383,
256,000256.npy,14.962,
257,000257.npy,15.253,
258,000258.npy,14.908,
259,000259.npy,15.749,
260,000260.npy,16.084,1620
261,000261.npy,18.399,
262,000262.npy,17.402,
263,000263.npy,15.697,
264,000264.npy,19.454,
265,000265.npy,15.746,
266,000266.npy,14.888,
267,000267.npy,15.826,
268,000268.npy,17.385,
269,000269.npy,17.962,
270,000270.npy,17.102,1620
271,000271.npy,15.454,
272,000272.npy,15.113,
273,000273.npy,15.771,
274,000274.npy,14.941,
275,000275.npy,15.143,
276,000276.npy,15.279,
277,000277.npy,15.509,
278,000278.npy,15.507,
279,000279.npy,18.065,
280,000280.npy,17.945,1620
281,000281.npy,17.028,
282,000282.npy,15.817,
283,000283.npy,15.250,
284,000284.npy,15.235,
285,000285.npy,17.380,
286,000286.npy,15.041,
287,000287.npy,14.980,
288,000288.npy,15.132,
289,000289.npy,15.534,
290,000290.npy,15.033,1620
291,000291.npy,15.084,
292,000292.npy,15.084,
293,000293.npy,16.176,
294,000294.npy,15.366,
295,000295.npy,15.329,
296,000296.npy,14.969,
297,000297.npy,18.796,
298,000298.npy,17.550,
299,000299.npy,16.712,
300,000300.npy,16.185,1620
301,000301.npy,15.855,
302,000302.npy,17.720,
303,000303.npy,15.861,
304,000304.npy,15.869,
305,000305.npy,17.737,
306,000306.npy,15.944,
307,000307.npy,15.600,
308,000308.npy,15.701,
309,000309.npy,17.533,
310,000310.npy,17.262,1185
311,000311.npy,15.898,
312,000312.npy,20.133,
313,000313.npy,20.083,
314,000314.npy,18.345,
315,000315.npy,17.971,
316,000316.npy,18.677,
317,000317.npy,16.124,
318,000318.npy,18.002,
319,000319.npy,16.142,
320,000320.npy,16.200,1185
321,000321.npy,16.114,
322,000322.npy,15.920,
323,000323.npy,16.035,
324,000324.npy,16.239,
325,000325.npy,16.027,
326,000326.npy,15.873,
327,000327.npy,15.899,
328,000328.npy,15.937,
329,000329.npy,18.883,
330,000330.npy,16.936,1110
